Date,Link,Payout,Entry,Price,MaxE,NumE,Week
11/22/20,https://www.draftkings.com/contest/gamecenter/96625286,"$3,500,000",$20,"$1,000,000",150,205883,11
11/15/20,https://www.draftkings.com/contest/gamecenter/96150436,,$20,"$1,000,000",150,207353,10
11/08/20,https://www.draftkings.com/contest/gamecenter/95683403,"$4,025,000",$20,"$1,000,000",150,228491,9
11/01/20,https://www.draftkings.com/contest/gamecenter/95207246,"$3,500,000",$10,"$1,000,000",150,411765,8
10/25/20,https://www.draftkings.com/contest/gamecenter/94689362,"$3,775,000",$20,"$1,000,000",150,222059,7
10/18/20,https://www.draftkings.com/contest/gamecenter/94210980,"$3,775,000",$20,"$1,000,000",150,222059,6
10/11/20,https://www.draftkings.com/contest/gamecenter/93673931,"$4,025,000",$20,"$1,000,000",150,236765,5
10/04/20,https://www.draftkings.com/contest/gamecenter/93138862,"$4,025,000",$20,"$1,000,000",150,236765,4
09/27/20,https://www.draftkings.com/contest/gamecenter/92556624,"$4,275,000",$20,"$1,000,000",150,249799,3
09/20/20,https://www.draftkings.com/contest/gamecenter/91962454,"$4,525,000",$20,"$1,000,000",150,255131,2
